Players,club,age,Position,short_passing,dribbling,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16,Form-15/16
Cristian Molinaro,Torino,33,Defender,70,69,61,66,75,64,57,71,7,8,0,2,0,2,0,2,0,0,21,0,10,1.3,1,0,4,4,0,7,0,0,36,0,27,2.0370370369999997
Cristian Zapata,Milan,30,Defender,50,55,58,55,80,35,38,84,5,3,1,0,3,0,0,0,0,0,18,0,15,2.6,1,0,2,3,0,1,0,0,24,0,16,1.875
Cristiano Biraghi,Fiorentina,24,Defender,63,61,59,66,77,56,52,75,6,7,1,3,3,11,0,4,0,1,75,0,35,1.1142857143,0,1,4,8,0,3,0,0,56,0,32,0.734375
Cristiano Piccini,Sporting CP,24,Defender,71,75,59,74,77,64,55,77,9,11,2,3,4,6,1,4,0,0,31,0,23,2.652173913,0,0,3,4,0,2,0,0,20,0,16,2.1875
Cuco Martina,Everton,27,Defender,62,62,60,61,70,53,59,67,14,12,0,0,1,0,0,2,0,0,6,0,9,2.7777777778,1,2,1,1,0,1,0,0,18,0,15,2.5333333333000003
Daley Blind,Manchester United,27,Defender,81,73,80,80,82,68,76,80,9,10,1,2,8,2,0,2,0,0,18,0,23,3.6086956522,1,2,12,2,0,3,0,0,35,0,35,3.3714285714
Damien Delaney,Crystal Palace,35,Defender,50,28,55,55,71,33,45,72,14,11,0,2,2,8,0,2,0,0,46,0,30,1.4,2,2,5,2,0,0,0,0,46,2,32,2.28125
Damien da Silva,SM Caen,29,Defender,69,42,51,68,78,39,40,78,8,11,0,1,9,4,1,1,0,0,62,0,36,1.9166666666999999,2,0,8,4,1,2,0,0,37,0,28,2.6428571429
Dani Alves,Paris Saint-Germain,34,Defender,83,84,77,86,81,74,78,73,11,7,2,2,4,5,0,4,0,0,15,0,19,3.4736842105,0,4,9,6,0,7,0,0,22,0,29,3.4137931033999998
Daniel Carrico,Sevilla FC,28,Defender,78,58,79,69,82,57,62,76,10,12,0,0,0,2,0,2,0,0,11,0,6,0.8333333333,1,1,4,3,0,1,0,0,20,0,14,2.5714285714
Daniel Congre,Montpellier Herault SC,32,Defender,70,65,69,70,73,51,55,73,10,7,1,0,5,2,1,2,0,0,38,0,24,1.9166666666999999,2,0,8,2,1,0,0,0,45,0,36,2.5555555556
Daniel Pavlovic,Crotone,29,Defender,73,66,70,68,66,68,68,69,7,15,0,0,1,2,0,1,0,0,16,0,9,1.2222222222,0,5,5,6,0,3,0,0,41,0,22,2.2727272727
Daniel Wass,RC Celta de Vigo,28,Defender,82,80,77,81,74,74,80,59,9,13,3,4,3,4,0,17,0,0,62,2,32,1.84375,2,5,5,3,0,15,0,0,55,0,36,2.5
Daniele Bonera,Villarreal CF,36,Defender,56,41,61,51,81,27,41,81,3,3,0,0,3,2,0,0,0,0,5,0,6,3.3333333332999997,0,0,3,4,0,2,0,0,19,0,14,1.8571428571000002
Daniele Gastaldello,Brescia,34,Defender,56,54,66,56,82,30,46,80,8,10,0,1,5,12,1,5,0,0,36,0,25,1.76,1,2,10,8,0,4,0,0,25,0,25,3.36
Daniele Rugani,Juventus,22,Defender,65,64,59,65,84,28,50,84,10,5,2,0,8,4,0,1,0,0,6,0,15,4.5333333333,0,0,6,2,0,0,0,0,8,0,17,3.4117647058999996
Danilo D'Ambrosio,Inter,28,Defender,66,70,61,71,74,62,55,76,10,15,3,3,7,5,0,2,0,0,40,0,32,3.0625,2,0,5,4,0,1,0,0,20,0,20,3.0
Danny Da Costa,Eintracht Frankfurt,23,Defender,68,72,67,72,60,63,58,67,15,6,0,1,0,0,0,1,0,0,5,0,3,1.6666666666999999,0,4,4,4,0,2,0,0,29,0,20,2.45
Danny Rose,Tottenham Hotspur,26,Defender,76,79,66,76,81,68,73,82,11,13,2,2,7,8,0,3,0,0,12,0,18,4.0,1,3,8,7,0,3,0,0,20,0,24,3.4583333332999997
Danny Simpson,Leicester City,30,Defender,64,64,60,69,77,58,63,78,15,11,0,2,9,12,0,3,0,0,55,0,35,2.0,0,0,13,4,0,3,0,0,22,0,30,3.4666666667
Dante,OGC Nice,33,Defender,74,58,75,73,80,41,62,80,8,13,0,3,10,5,0,0,0,0,32,0,33,3.0606060606,1,0,7,6,0,0,0,0,28,0,24,2.6666666667
Dario Dainelli,Chievo Verona,38,Defender,56,50,66,55,85,16,25,81,12,10,0,0,6,8,0,1,0,0,41,1,26,1.6923076923,1,0,6,5,0,2,0,0,23,0,18,2.5555555556
Daryl Janmaat,Watford,27,Defender,70,74,68,76,73,68,70,74,10,7,2,1,1,2,0,6,0,0,48,0,27,1.5185185184999999,2,4,3,6,0,3,0,0,62,0,32,1.875
David Abraham,Eintracht Frankfurt,30,Defender,73,44,75,58,74,31,49,78,10,8,1,3,11,5,1,1,0,0,34,0,30,3.1666666667000003,0,0,7,8,0,3,0,0,45,0,31,1.9032258065
David Alaba,FC Bayern Munich,25,Defender,83,79,80,83,85,77,78,81,7,9,4,4,14,1,0,5,0,0,21,0,32,4.59375,1,0,15,2,0,1,0,0,14,0,30,4.1
David Junca,SD Eibar,23,Defender,65,64,61,71,74,55,48,71,9,9,0,2,2,1,0,0,0,0,11,1,9,2.5555555556,0,4,2,8,0,2,0,0,54,1,31,1.3548387097
David Simon,UD Las Palmas,27,Defender,79,70,63,72,69,67,43,72,12,11,0,1,2,3,0,1,0,0,33,0,16,1.1875,1,2,6,7,0,1,0,0,41,1,27,2.1111111111
