Players,club,age,Position,short_passing,dribbling,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16,Form-15/16
Sergi Gomez,RC Celta de Vigo,25,Defender,80,56,77,75,80,52,56,76,16,7,0,0,3,4,0,2,0,0,46,0,25,1.28,0,1,7,6,0,0,0,0,46,0,31,2.0645161290000003
Sergio Ramos,Real Madrid CF,31,Defender,78,61,72,84,88,52,63,86,8,11,7,0,5,6,1,1,0,0,35,1,28,3.1071428571,2,2,7,9,0,2,0,0,24,0,23,3.2173913043
Shkodran Mustafi,Arsenal,25,Defender,77,53,69,70,85,50,55,82,9,6,2,2,8,11,0,1,0,0,35,0,27,0.4615384615,2,0,6,13,0,1,0,0,40,1,30,2.0666666666999998
Sidnei,RC Deportivo de La Coruna,27,Defender,71,69,68,76,80,44,44,80,16,14,1,0,6,2,0,3,0,0,52,0,29,1.9310344828000001,0,0,7,2,0,2,0,0,49,0,33,2.0909090909
Silvan Widmer,Udinese,24,Defender,75,77,73,76,67,68,68,72,8,14,0,4,6,2,0,1,0,0,42,0,28,2.5,0,2,2,4,0,4,0,0,40,0,27,1.7777777778
Sime Vrsaljko,Atletico Madrid,25,Defender,74,74,70,78,79,65,68,77,11,12,0,0,5,1,0,2,0,0,9,0,14,3.3571428571,0,4,10,8,0,3,0,0,35,0,35,3.0
Simon Francis,Bournemouth,32,Defender,73,66,67,73,71,55,62,77,6,12,0,1,10,4,1,2,0,0,59,0,34,2.0294117647,0,4,6,5,1,0,0,0,67,0,38,1.8421052632
Slobodan Rajkovic,Palermo,28,Defender,57,42,59,50,67,29,34,73,7,12,0,0,0,1,0,1,0,0,7,0,4,1.0,1,1,2,4,0,1,0,0,24,0,16,2.0
Steeve Yago,Toulouse FC,24,Defender,65,65,57,65,70,53,44,75,14,10,0,0,6,12,0,3,0,0,24,0,22,2.1818181818,0,0,4,3,1,0,0,0,26,1,19,1.6315789474000002
Stefan Radu,Lazio,30,Defender,71,66,67,69,85,55,60,85,12,13,2,1,5,10,0,9,0,0,35,0,30,2.5,0,1,2,4,0,3,0,0,21,0,13,1.7692307691999998
Stefan Savic,Atletico Madrid,26,Defender,67,47,69,66,84,29,41,85,13,12,1,1,14,6,0,0,0,0,24,0,32,3.625,0,0,9,1,0,0,0,0,5,0,12,4.5833333333
Stefan de Vrij,Lazio,25,Defender,71,61,71,71,85,32,50,87,10,13,2,3,7,3,0,5,0,0,33,0,27,3.1481481481,0,0,0,0,0,0,0,0,5,0,2,0.5
Stephen Kingsley,Hull City,22,Defender,67,69,55,67,65,67,55,70,6,12,0,0,3,0,0,1,0,0,22,0,13,1.9230769231,0,1,0,0,0,1,0,0,3,1,4,2.5
Steve Cook,Bournemouth,26,Defender,72,54,62,68,76,15,35,78,12,12,2,0,10,5,0,0,0,0,67,1,38,2.0789473684,4,1,7,5,0,1,0,0,64,0,36,2.3055555556
Steven Moreira,FC Lorient,22,Defender,73,63,67,64,73,53,67,72,14,9,0,3,3,5,0,1,0,0,50,0,29,1.724137931,0,0,2,2,0,2,0,0,22,0,16,1.875
Stoppila Sunzu,Arsenal Tula,28,Defender,66,39,64,62,67,34,46,71,15,10,0,0,0,0,0,2,0,0,3,0,4,1.75,1,0,6,1,0,1,0,0,7,0,12,4.1666666667
Syam Ben Youssef,Kasimpasa SK,28,Defender,52,50,49,53,68,42,53,74,15,10,0,0,1,5,0,1,0,0,31,0,17,1.0,3,1,2,2,0,0,0,0,24,0,18,2.8333333332999997
Theodor Gebre Selassie,SV Werder Bremen,30,Defender,74,75,68,76,72,66,59,67,6,14,5,2,5,4,0,2,0,0,57,0,30,2.4,1,2,2,6,0,1,0,0,59,1,33,1.4545454544999998
Thiago Cionek,Palermo,31,Defender,46,46,52,56,71,30,36,72,8,16,0,0,5,8,0,4,0,0,54,0,30,1.3333333333,0,1,3,2,0,0,0,0,5,0,5,4.0
Thiago Silva,Paris Saint-Germain,32,Defender,79,68,81,80,89,59,74,90,12,10,3,2,13,1,0,1,0,0,20,0,27,4.4814814814999995,1,1,14,3,0,1,0,0,17,0,30,4.0333333333
Thomas Heurtaux,Hellas Verona,28,Defender,59,50,63,61,78,41,38,77,6,10,0,1,0,3,0,2,0,0,24,0,11,0.45454545450000006,0,0,1,4,0,3,0,0,22,0,15,1.2666666667
Timothy Fosu-Mensah,Crystal Palace,19,Defender,73,65,70,64,74,60,61,71,8,11,0,0,1,0,0,0,0,0,1,0,4,3.25,0,1,1,1,0,1,0,0,6,0,8,2.625
Tin Jedvaj,Bayer 04 Leverkusen,21,Defender,68,60,60,68,76,49,39,74,13,12,1,0,3,3,0,2,0,0,31,0,18,1.7777777778,0,0,4,6,0,5,0,0,17,0,15,2.2
Tito,CD Leganes,31,Defender,68,65,67,69,74,48,58,69,12,14,0,3,4,4,0,4,0,0,41,0,22,1.8636363636000002,1,3,4,5,1,3,0,0,53,0,29,1.8275862069
Tobias Levels,FC Ingolstadt 04,30,Defender,63,51,52,60,66,43,46,70,10,14,0,0,0,3,1,0,0,0,18,0,10,0.4,1,2,6,5,0,0,0,0,17,0,16,3.4375
Tobias Strobl,Borussia Monchengladbach,27,Defender,74,61,72,58,78,55,65,77,8,12,0,2,3,7,0,4,0,0,38,0,24,1.625,0,1,4,5,0,2,0,0,39,0,26,1.7307692308000002
Toby Alderweireld,Tottenham Hotspur,28,Defender,77,62,81,70,84,56,67,89,6,14,1,0,14,1,0,3,0,0,18,0,30,3.9666666667,4,2,13,3,0,1,0,0,35,0,38,3.7105263157999997
Toni Sunjic,Dinamo Moscow,28,Defender,45,30,44,33,74,23,30,74,7,13,0,0,1,1,0,0,0,0,12,0,7,1.1428571429,1,0,3,6,0,4,0,0,36,0,19,1.4210526316
Tony Jantschke,Borussia Monchengladbach,27,Defender,72,63,70,69,83,52,57,83,6,13,0,0,7,3,0,3,0,0,27,0,22,2.4090909091,0,0,0,2,0,2,0,0,21,0,12,0.9166666667
Tyrone Mings,Bournemouth,24,Defender,65,69,59,65,70,57,54,68,10,15,0,0,0,0,0,1,0,0,16,2,7,-0.2857142857,0,0,0,0,0,1,0,0,1,0,1,1.0
Ulisses Garcia,SV Werder Bremen,21,Defender,62,70,46,67,62,45,43,57,13,14,0,0,0,1,0,0,0,0,16,0,6,-0.3333333333,0,0,0,3,0,3,0,0,18,0,11,0.7272727273
Uros Cosic,AEK Athens,24,Defender,50,48,50,54,72,18,22,74,6,12,0,0,2,2,0,1,0,0,18,0,14,1.7857142857,0,0,3,4,0,0,0,0,11,0,9,2.3333333333
Vasco Regini,Sampdoria,26,Defender,61,55,58,63,77,46,30,71,8,10,0,4,7,5,0,1,0,0,51,0,35,2.1714285714,0,0,2,2,0,2,0,0,27,0,15,1.4666666667
Victor Ruiz,Villarreal CF,28,Defender,75,53,70,71,83,39,56,83,8,14,1,1,12,4,2,0,0,0,21,0,28,3.4285714286,0,0,14,9,0,0,0,0,29,1,34,3.0
Vincent Kompany,Manchester City,31,Defender,72,63,66,68,80,41,59,84,9,6,3,0,4,5,0,3,0,0,9,0,11,4.090909090899999,2,0,9,5,0,1,0,0,8,0,14,4.6428571429000005
Vincent Laurini,Fiorentina,28,Defender,63,60,60,64,72,42,38,70,11,12,0,0,3,2,1,8,0,0,35,0,24,1.8333333333000001,1,0,5,5,0,7,0,0,32,0,25,2.44
Vincent Le Goff,FC Lorient,27,Defender,73,69,72,73,72,74,63,75,11,8,1,1,4,5,0,0,0,0,70,0,38,1.5263157895,0,0,4,4,0,1,0,0,38,0,27,1.7037037037
Virgil van Dijk,Southampton,25,Defender,76,70,76,73,83,41,59,83,10,11,1,0,7,4,0,1,0,0,23,0,21,3.0,3,0,10,2,0,0,0,0,36,0,34,3.2058823529000002
Vlad Chiriches,Napoli,27,Defender,68,59,70,66,79,36,46,79,11,13,2,0,3,0,0,1,0,0,17,0,13,3.0769230769,1,0,4,2,0,1,0,0,6,0,8,4.125
Wendell,Bayer 04 Leverkusen,23,Defender,75,78,65,77,76,69,69,68,12,14,2,2,5,9,0,4,0,0,52,0,32,1.9375,0,0,10,10,0,2,0,0,35,0,28,2.3928571429
Wes Morgan,Leicester City,33,Defender,56,58,47,61,76,39,49,77,10,8,1,0,5,3,0,0,0,0,45,0,27,1.962962963,2,1,15,3,0,0,0,0,36,0,38,3.5
Wesley Hoedt,Southampton,23,Defender,68,58,74,68,78,29,62,78,10,11,2,0,4,5,0,2,0,0,32,1,23,2.1739130435,0,0,8,4,0,3,0,0,31,0,25,2.52
Wilfried Moimbe,FC Nantes,28,Defender,67,67,64,68,64,52,59,63,11,8,0,0,0,0,0,1,0,0,12,0,8,1.0,0,1,7,4,0,2,0,0,16,0,15,3.3333333332999997
William Remy,Montpellier Herault SC,26,Defender,57,65,62,58,68,28,60,65,12,12,0,1,1,1,1,1,0,0,26,0,15,1.0666666667,0,2,8,4,0,4,0,0,31,0,27,2.7777777778
Winston Reid,West Ham United,28,Defender,62,43,62,57,79,42,44,78,15,12,2,2,9,9,0,3,0,0,50,0,30,2.4666666666999997,1,1,6,5,0,1,0,0,38,1,24,2.1666666667
Yoann Andreu,Angers SCO,28,Defender,69,68,64,72,69,55,53,73,12,10,0,0,3,3,0,1,0,0,18,0,16,2.25,0,1,15,7,0,2,0,0,28,0,31,3.4193548387
Yohan Benalouane,Leicester City,30,Defender,64,47,63,60,78,46,40,73,13,15,0,0,4,4,0,4,0,0,18,0,11,2.0909090909,0,0,0,1,0,0,0,0,5,0,4,0.5
Younes Kaboul,Watford,31,Defender,64,52,54,59,74,51,51,72,14,6,2,0,3,2,0,5,0,0,37,0,23,2.2173913043,0,1,7,4,0,1,0,0,32,0,23,2.4347826087
Youssouf Sabaly,Girondins de Bordeaux,24,Defender,74,74,59,72,78,72,45,78,11,11,0,4,8,3,0,2,0,0,33,1,30,2.9666666667,2,1,10,7,0,1,0,0,34,0,29,3.0689655172
Yuto Nagatomo,Inter,30,Defender,61,64,48,66,72,60,53,72,13,15,0,0,2,2,0,4,0,0,24,0,16,1.5,0,0,6,5,1,2,0,0,24,0,23,2.3043478261000003
Zouhair Feddal,Real Betis Balompie,27,Defender,66,56,68,65,81,44,47,78,14,8,2,1,8,8,0,2,0,0,27,0,27,3.1111111111,1,1,5,10,0,0,0,0,50,0,28,1.6785714286000002
