Players,club,league,Position,short_passing,dribbling,long_passing,sprint_speed,interceptions,gk_diving,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16
Benjamin Andre,Stade Rennais FC,French Ligue 1,Midfielder,80,75,79,73,73,8,0,3,0,5,0,4,0,0,0,0,36,2.1111111111,0,2,0,3,0,7,0,0,0,0,32
Benjamin Corgnet,RC Strasbourg,French Ligue 1,Midfielder,72,69,69,66,71,15,1,0,0,1,0,3,0,0,0,0,10,1.7,1,1,0,1,0,4,0,0,0,0,16
Benjamin Henrichs,Bayer 04 Leverkusen,German Bundesliga,Midfielder,77,76,66,80,74,8,0,2,0,2,0,2,0,0,0,0,29,2.0689655172,0,1,0,1,0,0,0,0,0,0,9
Benjamin Stambouli,FC Schalke 04,German Bundesliga,Midfielder,77,66,74,65,78,8,0,0,0,4,1,5,0,0,0,0,23,1.3478260869999998,0,0,0,2,0,9,0,0,0,0,27
Bernardo Silva,Manchester City,English Premier League,Midfielder,84,91,78,78,49,9,8,9,0,3,0,21,0,0,0,0,37,3.6216216216,7,1,0,6,0,7,0,0,0,0,32
Blaise Matuidi,Juventus,Italian Serie A,Midfielder,84,73,79,78,85,8,4,4,0,3,0,7,0,0,0,0,34,2.6176470588,4,6,0,4,0,10,0,0,0,0,31
Borja Valero,Inter,Italian Serie A,Midfielder,89,86,86,67,70,5,1,10,0,4,0,3,0,0,0,0,31,2.9677419355000003,4,6,0,5,0,7,0,0,0,0,37
Bouna Sarr,Olympique de Marseille,French Ligue 1,Midfielder,63,71,58,81,31,9,0,1,0,1,0,6,0,0,0,0,26,1.4230769231,2,1,0,0,0,6,0,0,0,0,25
Bruno Fernandes,Sporting CP,Portuguese Primeira Liga,Midfielder,80,79,77,78,68,12,5,2,0,2,0,18,0,0,0,0,33,2.5454545455,3,4,0,8,0,13,0,1,0,0,31
Bryan Cristante,Atalanta,Italian Serie A,Midfielder,78,73,73,53,60,3,3,2,0,2,0,7,0,0,0,0,27,2.2962962963,0,0,0,0,0,1,0,0,0,0,4
Bryan Dabo,AS Saint-Etienne,French Ligue 1,Midfielder,76,76,71,78,74,8,0,1,0,3,0,5,0,0,0,0,14,1.5714285713999998,5,1,0,7,0,8,0,0,0,0,36
Carles Gil,RC Deportivo de La Coruna,Spanish Primera Division,Midfielder,81,81,78,70,40,12,1,4,0,7,0,10,0,0,0,0,23,2.1304347826,2,0,0,3,0,12,0,0,0,0,23
Carlos Sanchez,Fiorentina,Italian Serie A,Midfielder,78,70,76,68,78,11,1,1,0,6,0,3,0,0,0,0,31,1.8064516129,0,0,0,3,0,7,0,0,0,0,20
Casemiro,Real Madrid CF,Spanish Primera Division,Midfielder,82,69,84,61,86,13,4,0,0,10,0,6,0,0,0,0,25,2.2,1,3,0,7,0,4,0,0,0,0,23
Celso Borges,RC Deportivo de La Coruna,Spanish Primera Division,Midfielder,78,71,79,62,77,9,6,0,0,5,0,5,0,1,0,0,34,2.5588235294,3,2,0,4,0,3,0,0,0,0,24
Charles Aranguiz,Bayer 04 Leverkusen,German Bundesliga,Midfielder,81,74,81,73,73,15,2,2,0,8,0,10,0,1,0,0,27,2.0370370369999997,2,1,0,1,0,0,0,0,0,0,7
Charlie Adam,Stoke City,English Premier League,Midfielder,77,64,81,39,54,8,1,3,0,7,0,11,0,0,0,0,24,2.0,1,1,0,6,1,7,0,0,0,0,22
Charly Musonda,Chelsea,English Premier League,Midfielder,73,83,70,86,21,6,0,1,0,2,0,0,0,0,0,0,8,1.25,1,1,0,2,0,4,0,0,0,0,16
